year,location,deaths,color
2018,Afghanistan,16,#333
2018,Brazil,3,#ddd
2018,Bulgaria,1,#ddd
2018,CAR,3,#ddd
2018,Colombia,3,#ddd
2018,Ethiopia,1,#ddd
2018,Guatemala,1,#ddd
2018,India,5,#ddd
2018,Indonesia,1,#ddd
2018,Israel & OPTs,2,#ddd
2018,Libya,1,#ddd
2018,Mexico,11,#ddd
2018,Nicaragua,1,#ddd
2018,Pakistan,2,#ddd
2018,Philippines,4,#ddd
2018,Russia,1,#ddd
2018,Saudi Arabia,1,#ddd
2018,Sierra Leone,1,#ddd
2018,Slovakia,1,#ddd
2018,Somalia,7,#ddd
2018,Syria,9,#ddd
2018,USA,6,#ddd
2018,Yemen,8,#ddd
2019,Afghanistan,2,#ddd
2019,Brazil,2,#ddd
2019,Cameroon,1,#ddd
2019,Chad,1,#ddd
2019,Colombia,2,#ddd
2019,DRC,1,#ddd
2019,Ghana,1,#ddd
2019,Haiti,2,#ddd
2019,Honduras,4,#ddd
2019,India,1,#ddd
2019,Iraq,2,#ddd
2019,Libya,1,#ddd
2019,Mexico,11,#333
2019,Nigeria,1,#ddd
2019,Pakistan,2,#ddd
2019,Peru,1,#ddd
2019,Philippines,3,#ddd
2019,Somalia,2,#ddd
2019,South Africa,1,#ddd
2019,Syria,7,#ddd
2019,UK,1,#ddd
2019,Ukraine,1,#ddd
2019,Yemen,1,#ddd
2019,Zambia,1,#ddd
2020,Afghanistan,6,#ddd
2020,Bangladesh,1,#ddd
2020,Barbados,1,#ddd
2020,Brazil,1,#ddd
2020,Colombia,2,#ddd
2020,Guatemala,2,#ddd
2020,Honduras,4,#ddd
2020,India,2,#ddd
2020,Iran,1,#ddd
2020,Iraq,3,#ddd
2020,Liberia,1,#ddd
2020,Mexico,9,#333
2020,Nigeria,3,#ddd
2020,Pakistan,1,#ddd
2020,Paraguay,1,#ddd
2020,Philippines,4,#ddd
2020,Somalia,1,#ddd
2020,Syria,4,#ddd
2020,Venezuela,1,#ddd
2020,Yemen,2,#ddd
2021,Afghanistan,4,#ddd
2021,Azerbaijan,2,#ddd
2021,Bangladesh,1,#ddd
2021,Burkina Faso,2,#ddd
2021,Colombia,1,#ddd
2021,DRC,1,#ddd
2021,Ethiopia,2,#ddd
2021,Georgia,1,#ddd
2021,Greece,1,#ddd
2021,Haiti,1,#ddd
2021,India,5,#ddd
2021,Indonesia,1,#ddd
2021,Israel & OPTs,1,#ddd
2021,Lebanon,1,#ddd
2021,Mexico,9,#333
2021,Myanmar,2,#ddd
2021,Netherlands,1,#ddd
2021,Pakistan,3,#ddd
2021,Philippines,3,#ddd
2021,Somalia,2,#ddd
2021,Yemen,1,#ddd
2022,Bangladesh,2,#ddd
2022,Brazil,2,#ddd
2022,CAR,1,#ddd
2022,Chad,2,#ddd
2022,Chile,1,#ddd
2022,Colombia,2,#ddd
2022,Ecuador,1,#ddd
2022,Guatemala,1,#ddd
2022,Haiti,7,#ddd
2022,Honduras,2,#ddd
2022,India,2,#ddd
2022,Israel & OPTs,1,#ddd
2022,Kazakhstan,1,#ddd
2022,Kenya,1,#ddd
2022,Mexico,13,#ddd
2022,Myanmar,2,#ddd
2022,Paraguay,1,#ddd
2022,Philippines,5,#ddd
2022,Somalia,2,#ddd
2022,Syria,1,#ddd
2022,Turkey,1,#ddd
2022,Ukraine,15,#333
2022,USA,1,#ddd
2022,Yemen,1,#ddd
2023,Afghanistan,1,#ddd
2023,Albania,1,#ddd
2023,Bangladesh,1,#ddd
2023,Cameroon,2,#ddd
2023,Colombia,1,#ddd
2023,Haiti,1,#ddd
2023,India,1,#ddd
2023,Israel & OPTs,74,#333
2023,Lebanon,3,#ddd
2023,Lesotho,1,#ddd
2023,Mexico,1,#ddd
2023,Paraguay,1,#ddd
2023,Philippines,2,#ddd
2023,Rwanda,1,#ddd
2023,Sudan,1,#ddd
2023,Ukraine,2,#ddd
2023,USA,1,#ddd
